129.6	129.79	m
129.79	129.98	m
129.98	130.18	m
130.18	130.37	m
130.37	130.56	m
130.56	130.75	m
130.75	130.94	m
130.94	131.14	m
131.14	131.33	m
131.33	131.52	m
131.33	131.52	s
131.52	131.71	m
131.52	131.71	s
131.71	131.9	m
131.71	131.9	s
131.9	132.1	m
131.9	132.1	s
132.1	132.29	m
132.29	132.48	m
132.48	132.67	m
132.48	132.67	s
132.67	132.86	m
132.67	132.86	s
132.86	133.06	m
132.86	133.06	s
133.06	133.25	m
133.25	133.44	m
133.44	133.63	m
133.44	133.63	s
133.63	133.82	m
133.63	133.82	s
133.82	134.02	m
133.82	134.02	s
134.02	134.21	m
134.21	134.4	m
134.21	134.4	s
134.4	134.59	m
134.4	134.59	s
134.59	134.78	m
134.59	134.78	s
134.78	134.98	m
134.78	134.98	s
134.98	135.17	m
134.98	135.17	s
135.17	135.36	m
135.17	135.36	s
135.36	135.55	m
135.36	135.55	s
135.55	135.74	m
135.55	135.74	s
135.74	135.94	m
135.94	136.13	m
135.94	136.13	s
136.13	136.32	m
136.13	136.32	s
136.32	136.51	m
136.32	136.51	s
136.51	136.7	m
136.51	136.7	s
136.7	136.9	m
136.7	136.9	s
136.9	137.09	m
136.9	137.09	s
137.09	137.28	m
137.09	137.28	s
137.28	137.47	m
137.28	137.47	s
137.47	137.66	m
137.47	137.66	s
137.66	137.86	m
137.66	137.86	s
137.86	138.05	m
137.86	138.05	s
138.05	138.24	m
138.05	138.24	s
138.24	138.43	m
138.24	138.43	s
138.43	138.62	m
138.43	138.62	s
138.62	138.82	m
138.62	138.82	s
138.82	139.01	m
138.82	139.01	s
139.01	139.2	m
139.01	139.2	s
139.2	139.39	m
139.2	139.39	s
139.39	139.58	m
139.39	139.58	s
139.58	139.78	m
139.58	139.78	s
139.78	139.97	m
139.78	139.97	s
139.97	140.16	m
139.97	140.16	s
140.16	140.35	m
140.16	140.35	s
140.35	140.54	m
140.35	140.54	s
140.54	140.74	m
140.54	140.74	s
140.74	140.93	m
140.74	140.93	s
140.93	141.12	m
140.93	141.12	s
141.12	141.31	m
141.12	141.31	s
141.31	141.5	m
141.31	141.5	s
141.5	141.7	m
141.5	141.7	s
141.7	141.89	m
141.7	141.89	s
141.89	142.08	m
141.89	142.08	s
142.08	142.27	m
142.08	142.27	s
142.27	142.46	m
142.27	142.46	s
142.46	142.66	m
142.46	142.66	s
142.66	142.85	m
142.66	142.85	s
142.85	143.04	m
142.85	143.04	s
143.04	143.23	m
143.04	143.23	s
143.23	143.42	m
143.23	143.42	s
143.42	143.62	m
143.42	143.62	s
143.62	143.81	m
143.62	143.81	s
143.81	144.0	m
143.81	144.0	s
144.0	144.19	m
144.0	144.19	s
144.19	144.38	m
144.19	144.38	s
144.38	144.58	m
144.38	144.58	s
144.58	144.77	m
144.58	144.77	s
144.77	144.96	m
144.77	144.96	s
144.96	145.15	m
144.96	145.15	s
145.15	145.34	m
145.15	145.34	s
145.34	145.54	m
145.34	145.54	s
145.54	145.73	m
145.54	145.73	s
145.73	145.92	m
145.73	145.92	s
145.92	146.11	m
145.92	146.11	s
146.11	146.3	m
146.11	146.3	s
146.3	146.5	m
146.3	146.5	s
146.5	146.69	m
146.5	146.69	s
146.69	146.88	m
146.69	146.88	s
146.88	147.07	m
146.88	147.07	s
147.07	147.26	m
147.07	147.26	s
147.26	147.46	m
147.26	147.46	s
147.46	147.65	m
147.46	147.65	s
147.65	147.84	m
147.65	147.84	s
147.84	148.03	m
147.84	148.03	s
148.03	148.22	m
148.03	148.22	s
148.22	148.42	m
148.22	148.42	s
148.42	148.61	m
148.42	148.61	s
148.61	148.8	m
148.61	148.8	s
148.8	148.99	m
148.8	148.99	s
148.99	149.18	m
148.99	149.18	s
149.18	149.38	m
149.18	149.38	s
149.38	149.57	m
149.38	149.57	s
149.57	149.76	m
149.57	149.76	s
149.76	149.95	m
149.76	149.95	s
149.95	150.14	m
149.95	150.14	s
150.14	150.34	m
150.14	150.34	s
150.34	150.53	m
150.34	150.53	s
150.53	150.72	m
150.53	150.72	s
150.72	150.91	m
150.72	150.91	s
150.91	151.1	m
150.91	151.1	s
151.1	151.3	m
151.1	151.3	s
151.3	151.49	m
151.3	151.49	s
151.49	151.68	m
151.49	151.68	s
151.68	151.87	m
151.68	151.87	s
151.87	152.06	m
151.87	152.06	s
152.06	152.26	m
152.06	152.26	s
152.26	152.45	m
152.26	152.45	s
152.45	152.64	m
152.45	152.64	s
152.64	152.83	m
152.64	152.83	s
152.83	153.02	m
152.83	153.02	s
153.02	153.22	m
153.02	153.22	s
153.22	153.41	m
153.22	153.41	s
153.41	153.6	m
153.41	153.6	s
153.6	153.79	m
153.6	153.79	s
153.79	153.98	m
153.79	153.98	s
153.98	154.18	m
153.98	154.18	s
154.18	154.37	m
